Player ID,Name,First Name,Last Name,Age,Birth Date,Birth Place,Birth Country,Nationality,Height,Weight,Injured,Photo,TeamID,TeamName,TeamLogo,GamesAppearences,GamesLineups,GamesMin,GamesNumber,GamesPosition,GamesRating,GamesCaptain,SubsIn,SubsOut,SubsBench,ShotsTotal,ShotsOn,ShotsGoals,ShotsConceded,ShotsAssists,ShotsSaves,PassesTotal,PassesKey,PassesAccuracy,TacklesTotal,TacklesBlocks,TacklesInterceptions,DuelsTotal,DuelsWon,DribblesAttempts,DribblesSuccess,DribblesPast,FoulsDrawn,FoulsCommitted,CardsYellow,CardsYellowRed,CardsRed,PenaltyWon,PenaltyCommited,PenaltyScored,PenaltyMissed,PenaltySaved,TeamID2,TeamName2,TeamLogo2,GamesAppearences2,GamesLineups2,GamesMin2,GamesNumber2,GamesPosition2,GamesRating2,GamesCaptain2,SubsIn2,SubsOut2,SubsBench2,ShotsTotal2,ShotsOn2,ShotsGoals2,ShotsConceded2,ShotsAssists2,ShotsSaves2,PassesTotal2,PassesKey2,PassesAccuracy2,TacklesTotal2,TacklesBlocks2,TacklesInterceptions2,DuelsTotal2,DuelsWon2,DribblesAttempts2,DribblesSuccess2,DribblesPast2,FoulsDrawn2,FoulsCommitted2,CardsYellow2,CardsYellowRed2,CardsRed2,PenaltyWon2,PenaltyCommited2,PenaltyScored2,PenaltyMissed2,PenaltySaved2
829,Rodrigo Becão,Rodrigo,Nascimento França,28,1/19/1996,Salvador,Brazil,Brazil,191 cm,79 kg,FALSE,https://media.api-sports.io/football/players/829.png,611, Fenerbahce, https://media.api-sports.io/football/teams/611.png,10,10,798, null, Defender, '6.910000', False,0,5,2,2, null,0,0, null, null,517,1,47,6,6,6,59,39,1,1, null,11,15,3,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
853,L. Bonucci,Leonardo,Bonucci,37,5/1/1987,Viterbo,Italy,Italy,190 cm,85 kg,FALSE,https://media.api-sports.io/football/players/853.png,611, Fenerbahce, https://media.api-sports.io/football/teams/611.png,5,1,162, null, Defender, '6.860000', False,4,0,8, null, null,0,0,1, null,135,1,21,1,1,1,10,8,1,1, null, null,1,0,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
885,E. Bailly,Eric Bertrand,Bailly,30,4/12/1994,Bingerville,Côte d'Ivoire,Côte d'Ivoire,187 cm,77 kg,FALSE,https://media.api-sports.io/football/players/885.png,549, Besiktas, https://media.api-sports.io/football/teams/549.png,5,5,337, null, Defender, '6.780000', False,0,3,2,1, null,0,0, null, null,207, null,36,4,1,9,33,23,3,2, null,8,7,0,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
905,Fred,Frederico,Rodrigues de Paula Santos,31,3/5/1993,Belo Horizonte,Brazil,Brazil,169 cm,64 kg,FALSE,https://media.api-sports.io/football/players/905.png,611, Fenerbahce, https://media.api-sports.io/football/teams/611.png,18,17,1423, null, Midfielder, '7.222222', False,1,6,1,25,8,2,0,3, null,852,24,39,32,1,17,160,74,32,12, null,29,17,3,0,1, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1217,M. Ozdoev,Magomed,Ozdoev,31,11/5/1992,Grozny,Russia,Russia,184 cm,77 kg,FALSE,https://media.api-sports.io/football/players/1217.png,3589, Fatih Karagümrük, https://media.api-sports.io/football/teams/3589.png, null, null, null, null, Midfielder, null, False, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1232,S. Deli,Simon Désiré Sylvanus,Deli,33,10/27/1991,Abidjan,Côte d'Ivoire,Côte d'Ivoire,192 cm,84 kg,FALSE,https://media.api-sports.io/football/players/1232.png,3578, İstanbulspor, https://media.api-sports.io/football/teams/3578.png,22,20,1775, null, Defender, '6.880952', False,2,1,2,5,2,0,0, null, null,878,6,35,19,26,28,134,79,7,5, null,1,15,6,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1305,D. Livaković,Dominik,Livaković,29,1/9/1995,Zadar,Croatia,Croatia,187 cm,79 kg,FALSE,https://media.api-sports.io/football/players/1305.png,611, Fenerbahce, https://media.api-sports.io/football/teams/611.png,27,27,2430, null, Goalkeeper, '6.814814', False,0,0,2, null, null,0,24, null,47,656,1,17,1, null, null,13,10,1,1, null,4,1,0,0,0, null, null,0,0,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1326,M. Gavranović,Mario,Gavranović,34,11/24/1989,Lugano,Switzerland,Switzerland,175 cm,76 kg,FALSE,https://media.api-sports.io/football/players/1326.png,1001, Kayserispor, https://media.api-sports.io/football/teams/1001.png, null, null, null, null, Attacker, null, False, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1334,E. Ersu,Erten,Ersu,30,4/21/1994,İstanbul,Türkiye,Türkiye,195 cm,87 kg,FALSE,https://media.api-sports.io/football/players/1334.png,3573, Gazişehir Gaziantep, https://media.api-sports.io/football/teams/3573.png,0,0,0, null, Goalkeeper, null, False,0,0,0, null, null,0, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null,0,0,0, null, null, null, null, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1341,S. Aziz,Serdar,Aziz,34,10/23/1990,Bursa,Türkiye,Türkiye,183 cm,86 kg,FALSE,https://media.api-sports.io/football/players/1341.png,611, Fenerbahce, https://media.api-sports.io/football/teams/611.png,11,10,800, null, Defender, '6.981818', False,1,4,8,6,1,0,0,2, null,537,3,43,10,7,12,77,47,1, null, null,7,9,1,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1349,Ş. Özbayraklı,Şener,Özbayraklı,33,1/23/1990,Artvin,Türkiye,Türkiye,171 cm,71 kg,FALSE,https://media.api-sports.io/football/players/1349.png,564, Istanbul Basaksehir, https://media.api-sports.io/football/teams/564.png,2,2,128, null, Defender, '6.600000', False,0,2,0, null, null,0,0, null, null,74,1,31,5,1,2,16,9,2,2, null,2,1,0,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1354,M. Çapkan,Mahsun,Çapkan,24,10/8/1999,İstanbul,Türkiye,Türkiye,177 cm,69 kg,FALSE,https://media.api-sports.io/football/players/1354.png,1007, Rizespor, https://media.api-sports.io/football/teams/1007.png, null, null, null, null, Midfielder, null, False, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1361,F. Kadıoğlu,Ferdi Erenay,Kadıoğlu,25,10/7/1999,Arnhem,Netherlands,Türkiye,174 cm,68 kg,FALSE,https://media.api-sports.io/football/players/1361.png,611, Fenerbahce, https://media.api-sports.io/football/teams/611.png,30,30,2698, null, Midfielder, '7.373333', False,0,2,0,17,9,1,0,3, null,1603,40,45,60,5,30,304,182,84,51, null,51,27,3,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1369,M. Zajc,Miha,Zajc,30,7/1/1994,Šempeter pri Gorici,Slovenia,Slovenia,180 cm,76 kg,FALSE,https://media.api-sports.io/football/players/1369.png,611, Fenerbahce, https://media.api-sports.io/football/teams/611.png,9,4,465, null, Midfielder, '6.833333', False,5,3,11,5, null,0,0, null, null,291,9,32,10,1,4,41,18,2, null, null,4,7,0,0,0, null, null,0,0, null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
