player_name,first_name,last_name,age,birth_date,birth_country,nationality,height_cm,weight_kg,team_name,position,is_captain,appearances,starting_lineups,minutes_played,goals,assists,shots_saves,pass_accuracy,yellow_cards,red_cards,yellow_red_cards,penalty_won,penalty_committed,penalty_scored,penalty_missed,penalty_saved
T. Ndombélé,Tanguy,Ndombélé Alvaro,28,1996-12-28,France,France,0,0,galatasaray,Midfielder,False,18,4,449,0,1,0,14.0,0,0,0,0,0,0,0,0
Tetê,Mateus,Cardoso Lemos Martins,24,2000-02-15,Brazil,Brazil,0,0,galatasaray,Attacker,False,28,12,1040,0,3,0,14.0,1,0,0,0,0,0,0,0
K. Demirbay,Kerem,Demirbay,31,1993-07-03,Germany,Germany,0,0,galatasaray,Midfielder,False,28,21,1736,5,2,0,31.0,2,0,0,0,0,1,0,0
C. Ünder,Cengiz,Ünder,27,1997-07-14,Türkiye,Türkiye,0,0,fenerbahce,Attacker,False,21,13,887,9,2,0,11.0,3,0,0,0,0,0,0,0
E. Džeko,Edin,Džeko,38,1986-03-17,Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,fenerbahce,Attacker,False,30,30,2420,19,3,0,17.0,3,0,0,0,0,1,1,0
Rodrigo Becão,Rodrigo,Nascimento França,28,1996-01-19,Brazil,Brazil,0,0,fenerbahce,Defender,False,10,10,798,0,0,0,47.0,3,0,0,0,0,0,0,0
L. Bonucci,Leonardo,Bonucci,37,1987-05-01,Italy,Italy,0,0,fenerbahce,Defender,False,5,1,162,0,1,0,21.0,0,0,0,0,0,0,0,0
E. Bailly,Eric Bertrand,Bailly,30,1994-04-12,Côte d'Ivoire,Côte d'Ivoire,0,0,besiktas,Defender,False,5,5,337,0,0,0,36.0,0,0,0,0,0,0,0,0
Fred,Frederico,Rodrigues de Paula Santos,31,1993-03-05,Brazil,Brazil,0,0,fenerbahce,Midfielder,False,18,17,1423,2,3,0,39.0,3,1,0,0,0,0,0,0
M. Ozdoev,Magomed,Ozdoev,31,1992-11-05,Russia,Russia,0,0,fatih karagumruk,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
S. Deli,Simon Désiré Sylvanus,Deli,33,1991-10-27,Côte d'Ivoire,Côte d'Ivoire,0,0,i̇stanbulspor,Defender,False,22,20,1775,0,0,0,35.0,6,0,0,0,0,0,0,0
D. Livaković,Dominik,Livaković,29,1995-01-09,Croatia,Croatia,0,0,fenerbahce,Goalkeeper,False,27,27,2430,0,0,47,17.0,0,0,0,0,0,0,0,2
M. Gavranović,Mario,Gavranović,34,1989-11-24,Switzerland,Switzerland,0,0,kayserispor,Attacker,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
E. Ersu,Erten,Ersu,30,1994-04-21,Türkiye,Türkiye,0,0,gazisehir gaziantep,Goalkeeper,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
S. Aziz,Serdar,Aziz,34,1990-10-23,Türkiye,Türkiye,0,0,fenerbahce,Defender,False,11,10,800,0,2,0,43.0,1,0,0,0,0,0,0,0
Ş. Özbayraklı,Şener,Özbayraklı,33,1990-01-23,Türkiye,Türkiye,0,0,istanbul basaksehir,Defender,False,2,2,128,0,0,0,31.0,0,0,0,0,0,0,0,0
M. Çapkan,Mahsun,Çapkan,24,1999-10-08,Türkiye,Türkiye,0,0,rizespor,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
F. Kadıoğlu,Ferdi Erenay,Kadıoğlu,25,1999-10-07,Netherlands,Türkiye,0,0,fenerbahce,Midfielder,False,30,30,2698,1,3,0,45.0,3,0,0,0,0,0,0,0
M. Zajc,Miha,Zajc,30,1994-07-01,Slovenia,Slovenia,0,0,fenerbahce,Midfielder,False,9,4,465,0,0,0,32.0,0,0,0,0,0,0,0,0
O. Vranješ,Ognjen,Vranješ,34,1989-10-24,Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,hatayspor,Defender,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
L. Torreira,Lucas Sebastián,Torreira di Pascua,28,1996-02-11,Uruguay,Uruguay,0,0,galatasaray,Midfielder,False,28,28,2403,1,1,0,52.0,6,0,0,0,0,0,0,0
A. Diaby,Abdoulay,Diaby,33,1991-05-21,France,Mali,0,0,pendikspor,Attacker,False,22,9,923,2,0,0,10.0,2,0,0,0,0,0,0,0
A. Bertolacci,Andrea,Bertolacci,33,1991-01-11,Italy,Italy,0,0,fatih karagumruk,Midfielder,False,12,7,618,0,0,0,31.0,2,0,0,0,0,0,0,0
M. Müldür,Mert,Müldür,25,1999-04-03,Austria,Türkiye,0,0,fenerbahce,Defender,False,22,11,1027,1,4,0,19.0,3,0,0,0,0,0,0,0
S. Grahovac,Srđan,Grahovac,31,1992-09-19,Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,rizespor,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
A. Badji,Aliou,Badji,27,1997-10-10,Senegal,Senegal,0,0,gazisehir gaziantep,Attacker,False,8,1,206,0,0,0,4.0,1,0,0,0,0,0,0,0
R. Kent,Ryan,Kent,28,1996-11-11,England,England,0,0,fenerbahce,Attacker,False,8,1,138,0,0,0,8.0,0,0,0,0,0,0,0,0
Fernando,Fernando Lucas,Martins,31,1992-03-03,Brazil,Brazil,0,0,antalyaspor,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
E. Kaya,Erdoğan,Kaya,22,2001-03-27,Türkiye,Türkiye,0,0,besiktas,Defender,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
E. Seçgin,Erdem,Seçgin,23,2000-01-05,Türkiye,Türkiye,0,0,i̇stanbulspor,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
G. Töre,Gökhan,Töre,32,1992-01-20,Germany,Türkiye,0,0,konyaspor,Attacker,False,3,0,45,0,0,0,6.0,0,0,0,0,0,0,0,0
O. Akgün,Oğuzhan,Akgün,23,2001-07-13,Türkiye,Türkiye,0,0,besiktas,Attacker,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
A. Ljajić,Adem Bojan,Ljajić,33,1991-09-29,Serbia,Serbia,0,0,fatih karagumruk,Midfielder,False,2,1,83,0,0,0,7.0,0,0,0,0,0,0,0,0
G. Yalçın,Güven,Yalçın,25,1999-01-18,Germany,Türkiye,0,0,fatih karagumruk,Attacker,False,26,22,1884,6,4,0,15.0,5,0,0,0,0,0,0,0
S. Bateau,Sheldon Michael Louis,Bateau,32,1991-01-29,Trinidad and Tobago,Trinidad and Tobago,0,0,samsunspor,Defender,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
D. Nelik,Doğukan,Nelik,23,2000-12-05,Türkiye,Türkiye,0,0,antalyaspor,Defender,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
S. Boey,Sacha,Boey,24,2000-09-13,France,France,0,0,galatasaray,Defender,False,19,19,1710,1,0,0,37.0,4,0,0,0,0,0,0,0
M. Niang,M'Baye Babacar,Niang,30,1994-12-19,France,Senegal,0,0,adana demirspor,Attacker,False,16,13,994,8,1,0,7.0,2,0,0,0,0,4,0,0
D. Pelkas,Dimitris,Pelkas,31,1993-10-26,Greece,Greece,0,0,istanbul basaksehir,Midfielder,False,18,12,962,3,2,0,15.0,5,0,0,0,0,0,0,0
Sérgio Oliveira,Sérgio Miguel,Relvas Gonçalves Pereira de Ol,32,1992-06-02,Portugal,Portugal,0,0,galatasaray,Midfielder,False,11,5,470,1,0,0,23.0,3,0,0,0,0,0,0,0
S. Córdova,Sergio Duvan,Córdova Lezama,27,1997-08-09,Venezuela,Venezuela,0,0,alanyaspor,Attacker,False,18,11,1012,3,0,0,7.0,1,0,0,0,0,0,0,0
Ó. Romero,Óscar David,Romero Villamayor,32,1992-07-04,Paraguay,Paraguay,0,0,pendikspor,Midfielder,False,12,7,684,3,0,0,23.0,1,0,0,0,0,3,1,0
M. Gómez,Maximiliano,Gómez González,28,1996-08-14,Uruguay,Uruguay,0,0,trabzonspor,Attacker,False,1,0,15,0,0,0,1.0,0,0,0,0,0,0,0,0
A. Musa,Ahmed,Musa,32,1992-10-14,Nigeria,Nigeria,0,0,sivasspor,Attacker,False,2,1,73,0,0,0,6.0,0,0,0,0,0,0,0,0
F. Calvo,Francisco Javier,Calvo Quesada,32,1992-07-08,Costa Rica,Costa Rica,0,0,konyaspor,Defender,False,17,16,1450,0,0,0,44.0,4,0,0,0,0,0,0,0
M. Batshuayi,Michy,Batshuayi-Atunga,31,1993-10-02,Belgium,Belgium,0,0,fenerbahce,Attacker,False,21,1,429,9,1,0,5.0,3,0,0,0,0,3,1,0
C. Bakambu,Cédric,Bakambu,33,1991-04-11,France,Congo DR,0,0,galatasaray,Attacker,False,10,1,185,1,0,0,4.0,1,0,0,0,0,0,0,0
Z. Ferhat,Zinedine,Ferhat,31,1993-03-01,Algeria,Algeria,0,0,alanyaspor,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
M. Gradel,Max-Alain,Gradel,37,1987-11-30,Côte d'Ivoire,Côte d'Ivoire,0,0,sivasspor,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
W. Zaha,Dazet Wilfried,Armel Zaha,32,1992-11-10,Côte d'Ivoire,Côte d'Ivoire,0,0,galatasaray,Attacker,False,26,13,1398,9,3,0,15.0,2,0,0,0,0,0,0,0
D. Lamkel Zé,Didier,Lamkel Zé,28,1996-09-17,Cameroon,Cameroon,0,0,hatayspor,Attacker,False,15,9,945,3,2,0,16.0,3,0,0,0,0,0,1,0
V. Ethemi,Valon,Ethemi,27,1997-10-03,North Macedonia,North Macedonia,0,0,konyaspor,Attacker,False,9,4,418,1,1,0,10.0,2,0,0,0,0,0,0,0
E. Rroca,Eduart,Rroca,31,1993-07-28,Albania,Albania,0,0,i̇stanbulspor,Midfielder,False,16,9,742,1,1,0,23.0,4,0,0,0,0,0,0,0
E. Muçi,Ernest,Muçi,23,2001-03-19,Albania,Albania,0,0,besiktas,Attacker,False,7,7,598,2,0,0,23.0,1,0,0,0,0,0,0,0
H. Ghacha,Houssam Eddine,Ghacha,28,1995-10-25,Algeria,Algeria,0,0,antalyaspor,Attacker,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
N. Khacef,Mohamed Naoufel,Khacef,27,1997-10-27,Algeria,Algeria,0,0,gazisehir gaziantep,Defender,False,3,3,270,0,0,0,27.0,1,0,0,0,0,0,0,0
Jackson,Jackson Kenio,Santos Laurentino,25,1999-04-24,Brazil,Brazil,0,0,i̇stanbulspor,Attacker,False,30,22,1691,1,3,0,18.0,2,0,0,0,0,1,0,0
E. Eze,Emeka Friday,Eze,28,1996-09-26,Nigeria,Nigeria,0,0,pendikspor,Attacker,False,5,2,121,0,0,0,4.0,0,0,0,0,0,0,0,0
A. Lusamba,Arnaud René,Lusamba,27,1997-01-04,France,Congo DR,0,0,pendikspor,Midfielder,False,21,17,1487,0,3,0,27.0,4,0,1,0,0,0,0,0
S. Guri,Sindrit,Guri,30,1993-10-23,Albania,Albania,0,0,i̇stanbulspor,Attacker,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
M. Tirpan,Mickaël Sylvain,Tirpan,31,1993-10-23,Belgium,Belgium,0,0,samsunspor,Defender,False,7,7,569,0,0,0,25.0,4,0,0,0,0,0,0,0
A. Touba,Ahmed,Touba,26,1998-03-13,France,Algeria,0,0,istanbul basaksehir,Defender,False,1,1,57,0,0,0,24.0,0,0,0,0,0,0,0,0
D. Graovac,Daniel,Graovac,30,1993-08-08,Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,kasimpasa,Defender,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Eduardo Bauermann,Eduardo Gabriel,dos Santos Bauermann,27,1996-02-13,Brazil,Brazil,0,0,alanyaspor,Defender,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Gustavo Henrique,Gustavo Henrique,Vernes,31,1993-03-24,Brazil,Brazil,0,0,fenerbahce,Defender,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Flávio,Flávio,Medeiros da Silva,27,1996-02-10,Brazil,Brazil,0,0,trabzonspor,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Willian Arão,Willian,Souza Arão da Silva,32,1992-03-12,Brazil,Brazil,0,0,fenerbahce,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Lincoln,Lincoln Henrique,Oliveira dos Santos,26,1998-11-07,Brazil,Brazil,0,0,fenerbahce,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Janio Bikel,Janio,Bikel Figueiredo da Silva,29,1995-06-28,Guinea-Bissau,Guinea-Bissau,0,0,gazisehir gaziantep,Midfielder,False,12,4,433,0,0,0,11.0,3,0,0,0,0,0,0,0
M. Dituro,Matías Ezequiel,Dituro Curto,37,1987-05-08,Argentina,Argentina,0,0,fatih karagumruk,Goalkeeper,False,11,11,990,0,0,25,25.0,1,0,0,0,0,0,0,1
Marcão,Marcos Vinicius,Amaral Alves,30,1994-06-17,Brazil,Brazil,0,0,fatih karagumruk,Attacker,False,4,2,153,1,0,0,6.0,0,0,0,0,0,0,0,0
R. Murić,Robert,Murić,28,1996-03-12,Croatia,Croatia,0,0,konyaspor,Midfielder,False,16,8,685,2,0,0,9.0,0,0,0,0,0,0,0,0
T. Teklić,Tonio,Teklić,25,1999-09-09,Croatia,Croatia,0,0,fatih karagumruk,Attacker,False,6,3,238,0,0,0,11.0,1,0,0,0,0,0,0,0
F. Miya,Farouk,Miya,26,1997-11-26,Uganda,Uganda,0,0,rizespor,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
C. Ndiaye,Pape Cherif,Ndiaye,28,1996-01-23,Senegal,Senegal,0,0,adana demirspor,Attacker,False,2,2,167,1,1,0,10.0,1,0,0,0,0,0,0,0
A. Hasić,Ajdin,Hasić,23,2001-10-07,Bosnia and Herzegovina,Bosnia and Herzegovina,0,0,besiktas,Attacker,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
S. Lobzhanidze,Saba,Lobzhanidze,29,1994-12-18,Georgia,Georgia,0,0,hatayspor,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
V. Nelsson,Victor Enok,Nelsson,26,1998-10-14,Denmark,Denmark,0,0,galatasaray,Defender,False,26,23,2071,2,0,0,43.0,3,0,0,0,0,0,0,0
M. Schneiderlin,Morgan Fernand Gérard,Schneiderlin,34,1989-11-08,France,France,0,0,konyaspor,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Ç. Söyüncü,Çağlar,Söyüncü,28,1996-05-23,Türkiye,Türkiye,0,0,fenerbahce,Defender,False,6,5,450,0,0,0,36.0,1,0,0,0,0,0,0,0
A. Masuaku,Fuka-Arthur,Masuaku Kawela,31,1993-11-07,France,Congo DR,0,0,besiktas,Defender,False,14,12,1134,0,0,0,38.0,4,0,0,0,0,0,0,0
J. King,Joshua Christian,Kojo King,32,1992-01-15,Norway,Norway,0,0,fenerbahce,Attacker,False,12,1,230,1,1,0,6.0,2,0,0,0,0,0,0,0
K. Harris,Kadeem Raymond,Mathurin-Harris,31,1993-06-08,England,England,0,0,samsunspor,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
L. Marković,Lazar,Marković,30,1994-03-02,Serbia,Serbia,0,0,gazisehir gaziantep,Midfielder,False,27,15,1306,2,4,0,13.0,5,0,0,0,0,0,0,0
D. Duhaney,Demeaco,D'Vaughn Duhaney,26,1998-10-13,England,England,0,0,i̇stanbulspor,Defender,False,22,21,1834,1,0,0,25.0,4,0,0,0,0,0,0,0
F. Hadergjonaj,Florent,Hadergjonaj,30,1994-07-31,Switzerland,Kosovo,0,0,kasimpasa,Defender,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
B. Osayi-Samuel,Bright,Osayi-Samuel,27,1997-12-31,Nigeria,Nigeria,0,0,fenerbahce,Defender,False,16,15,1260,3,1,0,24.0,8,0,0,0,0,0,0,0
M. Barrow,Modou,Secka Barrow,32,1992-10-13,Gambia,Gambia,0,0,sivasspor,Midfielder,False,16,11,979,1,0,0,10.0,0,0,0,0,0,0,0,0
Nélson Oliveira,Nélson Miguel,Castro Oliveira,33,1991-08-08,Portugal,Portugal,0,0,konyaspor,Attacker,False,15,4,454,0,1,0,5.0,2,0,0,0,0,0,0,0
E. Öztümer,Erhun Aksel,Öztümer,32,1991-05-29,England,England,0,0,adana demirspor,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
M. Guel,Moussa,Guel,24,1999-06-23,Côte d'Ivoire,Côte d'Ivoire,0,0,samsunspor,Attacker,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
M. Chouiar,Mounir,Chouiar,24,1999-01-23,France,France,0,0,istanbul basaksehir,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
S. M&apos;Bakata,Salem,M'Bakata,26,1998-04-19,Congo DR,France,0,0,gazisehir gaziantep,Defender,False,22,16,1408,0,0,0,14.0,4,0,0,0,0,0,0,0
Edgar Ié,Edgar,Miguel Ié,30,1994-05-01,Guinea-Bissau,Guinea-Bissau,0,0,istanbul basaksehir,Defender,False,2,2,180,0,0,0,70.0,0,0,0,0,0,0,0,0
E. Kwateng,Enock,Kwateng,27,1997-04-09,France,France,0,0,ankaragucu,Defender,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
V. Eysseric,Valentin,Eysseric,32,1992-03-25,France,France,0,0,kasimpasa,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
I. Gomis,Iron,Gomis,25,1999-11-09,France,France,0,0,kasimpasa,Midfielder,False,21,13,1111,1,4,0,12.0,4,0,0,0,0,0,0,0
P. Djilobodji,El Hadji Papy Mison,Djilobodji,36,1988-12-01,Senegal,Senegal,0,0,gazisehir gaziantep,Defender,False,28,28,2468,1,1,0,30.0,4,1,0,0,0,0,0,0
L. Phiri,Lebogang Lelani,Phiri,30,1994-11-09,South Africa,South Africa,0,0,rizespor,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
A. Djiku,Alexander Kwabena,Baidoo Djiku,30,1994-08-09,France,Ghana,0,0,fenerbahce,Defender,False,20,18,1642,2,1,0,46.0,5,0,0,0,0,0,0,0
V. Rosier,Valentin André Henri,Rosier,28,1996-08-19,France,France,0,0,besiktas,Defender,False,12,10,906,0,1,0,34.0,3,0,0,0,0,0,0,0
R. Coly,Racine,Coly,29,1995-12-08,Senegal,Senegal,0,0,i̇stanbulspor,Defender,False,17,7,706,0,0,0,21.0,7,0,0,0,0,0,0,0
B. Moussiti-Oko,Bevic Selad,Moussiti-Oko,28,1995-01-28,Congo,Congo,0,0,ankaragucu,Attacker,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Carlos Mané,Carlos Manuel,Cardoso Mané,30,1994-03-11,Portugal,Guinea-Bissau,0,0,kayserispor,Midfielder,False,19,7,777,2,2,0,12.0,1,0,0,0,0,0,0,0
S. Dursun,Serdar,Dursun,33,1991-10-19,Germany,Türkiye,0,0,fatih karagumruk,Attacker,False,22,6,800,3,0,0,7.0,0,0,0,0,0,1,0,0
Aias Aosman,Aias,Aosman,30,1994-10-21,Syria,Syria,0,0,pendikspor,Midfielder,False,1,1,72,0,0,0,23.0,0,0,0,0,0,0,0,0
A. Engin,Ahmet Emin,Engin,27,1996-08-09,Germany,Germany,0,0,kasimpasa,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
Y. Mallı,Yunus,Mallı,32,1992-02-24,Germany,Türkiye,0,0,kasimpasa,Midfielder,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
K. Ayhan,Kaan,Ayhan,30,1994-11-10,Germany,Türkiye,0,0,galatasaray,Defender,False,28,15,1526,1,1,0,27.0,3,0,0,0,0,0,0,0
G. Holtmann,Gerrit Stephan,Barba Holtmann,29,1995-03-25,Germany,Philippines,0,0,antalyaspor,Attacker,False,7,1,196,0,1,0,7.0,1,0,0,0,0,0,0,0
A. Maxim,Alexandru Iulian,Maxim,34,1990-07-08,Romania,Romania,0,0,gazisehir gaziantep,Midfielder,False,28,26,2174,2,4,0,28.0,5,0,2,0,0,2,2,0
D. Kourbelis,Dimitrios,Kourbelis,31,1993-11-02,Greece,Greece,0,0,fatih karagumruk,Midfielder,False,7,6,547,0,0,0,36.0,2,0,0,0,0,0,0,0
Thuram,Rogerio,Conceicao do Rosario,33,1991-02-01,Brazil,Brazil,0,0,pendikspor,Attacker,False,18,9,851,3,0,0,13.0,1,0,0,0,0,0,0,0
G. Beridze,Giorgi,Beridze,27,1997-05-12,Georgia,Georgia,0,0,ankaragucu,Attacker,False,1,1,46,0,0,0,9.0,0,0,0,0,0,0,0,0
A. Szalai,Attila Árpád,Szalai,25,1998-01-20,Hungary,Hungary,0,0,fenerbahce,Defender,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
F. Ceccherini,Federico,Ceccherini,32,1992-05-11,Italy,Italy,0,0,fatih karagumruk,Defender,False,22,20,1643,1,0,0,43.0,7,1,0,0,0,0,0,0
S. Sirigu,Salvatore,Sirigu,37,1987-01-12,Italy,Italy,0,0,fatih karagumruk,Goalkeeper,False,11,11,990,0,0,37,19.0,0,0,0,0,0,0,0,0
N. Nkoulou,Nicolas Julio Alexis,N'Koulou Ndoubena,34,1990-03-27,Cameroon,Cameroon,0,0,gazisehir gaziantep,Defender,False,26,26,2317,2,0,0,27.0,1,0,0,0,0,0,0,0
J. Galvão,João Pedro Geraldino,dos Santos Galvão,31,1992-03-09,Brazil,Italy,0,0,fenerbahce,Attacker,False,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0
D. Biraschi,Davide,Biraschi,30,1994-07-02,Italy,Italy,0,0,fatih karagumruk,Defender,False,24,23,2079,0,1,0,36.0,5,0,1,0,0,0,0,0
K. Günter,Koray,Günter,30,1994-08-16,Germany,Germany,0,0,fatih karagumruk,Defender,False,4,2,188,0,0,0,23.0,2,0,0,0,0,0,0,0
S. Sturaro,Stefano,Sturaro,31,1993-03-09,Italy,Italy,0,0,fatih karagumruk,Midfielder,False,11,2,308,1,0,0,11.0,3,0,0,0,0,0,0,0
K. Lasagna,Kevin,Lasagna,32,1992-08-10,Italy,Italy,0,0,fatih karagumruk,Attacker,False,22,13,1107,2,1,0,7.0,2,0,0,0,0,0,0,0
